valor;descricao;local;bairro/cidade;quarto-min;quarto-max;garagem-min;garagem-max;banheiro-min;banheiro-max;area(m2)-min;area(m2)-max;iptu;condominio;novidade;suite;acabamento
360000;Vazio;Campo Grande; Rio de Janeiro;3;3;2;2;4;4;90;90;0;0;Nenhuma;0;0
160000;Otima oportunidade para quem deseja morar em um condomínio com segurança e com muita tranquilidade.   Condomínio com portaria 24 hrs , sistema de segurança externo, condomínio tota...;Avenida de Santa Cruz; Senador Vasconcelos;2;2;2;2;2;2;56;56;0;457;Nenhuma;0;0
750000;Reduzi ainda mais !!!! Tirei mais R$ 50 mil. Pra vender RAPIDO ! Casa na tranquila Ilha de Guaratiba. Condomínio fechado 24 hrs com segurança. Somente à 5 minutos do Recreio Shoppi...;Estrada Professor Brant Hora; Guaratiba;5;5;4;4;7;7;265;265;1000;563;Nenhuma;0;0
540000;Linda casa triplex com acabamento excelente, com 3 quartos (sendo 2 suítes no 2º pavimento), sala ampla em dois ambientes, cozinha ampla com armários planejados e lavabo no 1º pavi...;Rua Campina Grande; Campo Grande;3;3;1;1;4;4;130;130;0;0;Nenhuma;1;1
510000;Casa a venda em Colégio Próximo ao Metrô de Colégio  Casa linear em rua fechada com sala , 2 quartos, cozinha planejada , banheiro social , garagem para 2 carros, piscina e terraço...;Rua Almirante Oliveira Pinto; Colégio;3;3;2;2;3;3;150;150;0;0;Nenhuma;0;0
299000;O LUGAR QUE VOCÊ PROCURA PARA VIVER BEM   O único empreendimento de casas em construção na região do bairro São Pedro, está localizado a 800 mts da UFJF e próximo a uma região come...;Rua Monteiro Lobato; São Pedro;2;3;1;2;3;3;86;119;0;0;Nenhuma;0;0
4350000;Real Up vende Casa Duplex no Condomínio Santa Lúcia com 739m2. Excelente localização próximo aos mercados, shopping Downtown e Citta América. Km 1da Avenida das Américas. Composta...;Rua Almirante Fonseca Costa; Barra da Tijuca;4;4;5;5;4;4;739;739;26467;2100;Nenhuma;0;0
1800000;LOPES ENJOY VENDE Belíssima casa 4 quartos sendo duas suites, no Itanhanga em condômino numa área de 1.000 metros quadrados toda em estilo rústico com vista para Lagoa de Jacarepag...;Itanhangá; Rio de Janeiro;4;4;3;3;3;3;224;224;231;0;Nenhuma;1;0
1210000;PORTELLA SM VENDE:  Casa localizada em vila tranquila com vista para o Cristo no bairro Humaitá. São 128 metros quadrados divididos em sala de estar e jantar, dois quartos, cozinha...;Humaitá; Rio de Janeiro;2;2;1;1;1;1;128;128;1382;0;Nenhuma;0;0
1800000;Próximo ao Centro Gastronômico do Humaitá, para à esquerda e do Baixo Gávea para à direita. Para ir à pé, temos muitos outros Restaurantes, como o Bráz, Sem Fronteira, GuacaMole (M...;Rua Getúlio das Neves; Jardim Botânico;4;4;1;1;2;2;147;147;244;300;Nenhuma;0;0
900000;Casa em Condomínio fechado, próximo à Freguesia, composta por sala, 2 quartos, 2 banheiros sociais, copa cozinha e copa, composta de varanda de frente, varandão de fundos e 3 vagas...;Rua Gabiroba; Freguesia- Jacarepaguá;2;2;3;3;2;2;110;110;0;208;Nenhuma;0;0
285000;PEDRA DE GUARATIBA   R$ 285MIL / Casa térrea   Integração, conforto e segurança / Primeira locação / Varandão com churrasqueira / Instalação de aquecedor a gás e/ou chuveiro elétri...;Travessa Anônima;Pedra de Guaratiba;2;2;1;1;2;2;85;85;1;0;Nenhuma;0;0
450000;>> RECREIO DOS BANDEIRANTES CONDOMÍNIO FECHADO COM SEGURANÇA 24H / Casa no tamanho perfeito! CONFORTÁVEL E FUNCIONAL / Terreno de 130m2 / Área Construída Total de 130m2 /// TÉRREO:...;Rua Natividade; Barra da Tijuca;4;4;1;1;5;5;130;130;0;300;Nenhuma;0;0
425000;OPORTUNIDADE! Casa Luxuosa e moderna Recentemente construída tudo novo!!! Vendo casa no bairro Alessandra em cg próximo ao west shopping. Fino acabamento toda no porcelanato e com...;Rua Felisberto Martins Filho; Campo Grande;2;2;3;3;2;2;200;200;0;0;Nenhuma;0;1
180000;A casa no bairro Campo Grande possui 110 metros quadrados com 2 quartos e 1 banheiroEspaço reservado para preparar o seu churrasco.;Campo Grande; Rio de Janeiro;2;2;1;1;1;1;110;110;0;0;Nenhuma;0;0
229000;Ótimo tipo casa de cima com terraço!   Composto de: salão bem arejado em piso,  dois quartos sendo um muito grande, banheiro amplo diferenciado, cozinha em dois ambientes,  área de...;Rua Lins de Vasconcelos; Lins de Vasconcelos;3;3;0;0;1;1;75;75;200;0;Nenhuma;0;0
450000;Casa primeira locação com localização privilegiada, no coração da Freguesia de Jacarepaguá, em frente a supermercados e ao Rio Shopping e ao lado de todo o comércio. Condomínio sel...;Estrada do Gabinal; Freguesia- Jacarepaguá;3;3;3;3;4;4;120;120;1200;810;Nenhuma;0;0
330000;Casa nova no Bairro Adriana, primeira locação, melhor local de Campo Grande, Próximo ao West Shopping, toda em porcelanato, salão, 2 amplas suítes, bhs decorados, cozinha ampla, ár...;Rua Dorival Ferreira; Campo Grande;2;2;1;1;4;4;150;150;60;0;Nenhuma;1;1
1000000;Casa reforma recente, dois andares, sendo primeiro andar com garagem , área de serviço e uma suite. Segundo andar com sala, três quartos, sendo um reversível , cozinha , banheiro ,...;Rua Costa Bastos; Santa Teresa;3;3;1;1;2;2;130;130;550;0;Nenhuma;1;0
740000;Condomínio fechado com camera de segurança. Rua com vigilante. Próximo ao Corpo de Bombeiros, escolas, padarias, supermercados e delegacia. Casa recém reformada com dois andares, p...;Rua Capitão Jesus; Cachambi;3;3;0;0;3;3;200;200;0;80;Nenhuma;0;0
550000;Primeiro andar: garagem, piscina, banheiro com chuveiro, depósito, casa de bombas e área. Segundo andar: salão de estar, dois quartos, uma suite, banheiro social com chuveiro, quin...;Rua Eugênio Madalena; Jacarepaguá;2;2;2;2;4;4;285;285;0;500;Nenhuma;1;0
180000;A casa no bairro Campo Grande com 110 metros quadrados com 2 quartos e 1 banheiro;Campo Grande; Rio de Janeiro;2;2;1;1;1;1;110;110;0;0;Nenhuma;0;0
220000;Casa 3 andares, sendo andar principal composto por duas salas, duas cozinhas, uma suíte, quarto e banheiro social. Andar de baixo Suíte Master. Terceiro andar composto por terraço...;Rua 2; Paciência;3;3;2;2;2;2;260;260;0;0;Nenhuma;1;0
700000;Vendo casa na Taquara com 360m2 com Documentação Ok.  Aceita financiamento imobiliário.  3 quartos   1 suíte  Sala  Cozinha grande  3 banheiros Escritório para home office Piscina...;Rua Aida Curi; Taquara;3;3;2;2;3;3;360;360;1100;0;Nenhuma;1;0
260000;Cód: TICA30018. EXCLUSIVIDADE! Ótima casa linear em VILA MAR, centro de terreno, recuada da rua com garagem para 4 carros, composta de 2 salas, 3 quartos, sendo 1 suíte, 3 banheiro...;Rua Donário José de Souza;Pedra de Guaratiba;3;3;4;4;3;3;307;307;0;0;Nenhuma;1;0
440000;EXCELENTE CASA EM LOCAL TRANQUILO, VARANDA EM TODA FACHADA DA CASA, IMÓVEL AREJADO E ILUMINADO, 03 QUARTOS AMPLOS, SENDO 01 SUÍTE + 01 QUARTO DE EMPREGADA, TOTAL 03 BANHEIROS, BOX...;Rua do Souto; Cascadura;3;3;4;4;3;3;260;260;1200;0;Nenhuma;1;0
1140000;ILHA PRIMEIRA   Vendo Casa de 3Qts, junto ao Metrô Jardim Oceânico, praia da Barra, Marina Barra Clube, Shoppings, Hortifrut e Supermercados, tudo feito com deslocamento por barco...;Estrada da Barra da Tijuca; Itanhangá;3;3;0;0;4;4;120;120;700;0;Nenhuma;0;0
580000;Imóvel novo bem localizado, Bairro São Jorge , ótimo comercio local , próximo ao mercado Costa Azul, farmácias ,praça, bares e lanchonetes com ambiente familiar, farta condução , B...;Rua Pedro Mota Lima; Campo Grande;3;3;3;3;3;3;190;190;0;0;Nenhuma;0;0
280000;EXCELENTE IMÓVEL NOVO RECÉM CONSTRUÍDO!!!! Composto de: 2 quartos, 2 banheiros, sala e cozinha. rua COM asfalto, com RGI do lote, FINANCIAMOS. POSSIBILIDADE DE CONSTRUÇÃO DE ÁREA G...;Avenida Carlos da Silva Rocha;Pedra de Guaratiba;2;2;2;2;2;2;150;150;30;0;Nenhuma;0;0
730000;Vendo ótima casa, 240m² com detalhes em madeira de boa qualidade, com piscina, ducha, churrasqueira e um agradável jardim com uma laranjeira produzindo ! Possui garagem coberta par...;Pechincha; Rio de Janeiro;4;4;2;2;3;3;150;150;0;0;Nenhuma;0;0
