valor;descricao;local;bairro/cidade;quartos;garagem;banheiro;area(m2);iptu;condominio;novidade;suite;acabamento
200000;ATENÇÃO, CHEGOU A HORA DE SAIR DO ALUGUEL E COMPRAR SEU PRÓPRIO IMÓVEL OPORTUNIDADE ÚNICA.  COMPRE SUA CASA DE FORMA BEM ECONÔMICA E 💯 JUROS.  TROQUE A PARCELA DE SEU ALUGUEL E CO...;Rua Capitão Temudo; Cabanga;3;2;2;100;0;0;Nenhuma;0;0
495000;Sobrado no Jardim Maria Dirce com 113 m2 de área construída.  3 dormitórios sendo 1 suíte. 1 banheiro. 1 lavabo. Sala. Sala de jantar. Cozinho com cooktop. Churrasqueira. 2 vagas....;Rua Itajuíbe; Jardim Maria Dirce;3;2;2;113;0;0;Nenhuma;1;0
110000;A casa está localizado no bairro Jardim Santo Inácio com 70 metros quadrados com 2 quartos e 1 banheiro.  ENTRADA+PARCELAS A COMBINAR NO BOLETO BANCARIO.  ACEITAMOS FGTS E CARTÃO D...;Caminho 01; Jardim Santo Inácio;2;0;1;70;0;0;Nenhuma;0;0
295000;*** IMAGENS MERAMENTE ILUSTRATIVA*** Crédito imobiliário SEM JUROS para a compra de loteamento, terreno, construção, imóvel rural, sítio, chácara , Imóvel, novo, usado, na planta,...;Rua Araçatuba; Arraial Paulista;3;1;2;110;0;0;Nenhuma;0;0
250000;(12/02) Ref. Imóvel: 2307   Excelente casa contendo garagem coberta para 2 carros, sala de tv, 2 dormitórios sendo 1suite, W.C. social, sala de jantar, cozinha e;Vila Cristina; Rio Claro;2;2;2;130;29;0;Nenhuma;1;0
450000;SALA COM PAINEL PLANEJADOFOGÃO COOKTOPÁREA GOURMET COM MÓVEIS PLANEJADOSGARAGEM PARA 2 CARROS COM PORTÃO AUTOMÁTICO   Atualizado;Jardim Imperial; São José dos Campos;3;2;3;180;0;0;Nenhuma;0;1
299000;  Atualizado;Residencial Novo Horizonte; Taubaté;2;2;2;67;530;0;Nenhuma;0;0
250000;Essa belíssima casa está localizada no bairro Conceição 2, possuindo 3 quartos sendo 1 suíte e 2 banheiros. Casa ampla e arejada, com boa iluminação e pronta para morar. Agende sua...;Conceição; Feira de Santana;3;3;2;100;0;0;Nenhuma;1;0
300000;Chácara a venda no Vila Real Continuação em Hortolândia/SP!     Valor de venda: R$ 300.000,00!!!     Descrição do imóvel:   *Área total de 330,00 m²   * Área útil de 180,00 m²   *...;Vila Real; Hortolândia;2;4;1;180;600;0;Destaque;0;0
450000;Casa com Ponto Comercial   Comércio térreo com escritório em divisórias e vidro, um banheiro completo e duas portas frontais. Próximo a Estação de Metrô Mondubim, posto de saúde, p...;Rua Professor Glauco Lobo; Novo Mondubim;3;3;4;175;0;0;Destaque;0;0
130000;Imóvel disponível em Feira de Santana, pronta entrega, no bairro MANGABEIRA   Imóvel com 2/4, 1 suítes, sala ampla, cozinha, área de serviço e área gourmet, garagem.   Plano caixa,...;Mangabeira; Feira de Santana;2;2;2;183;0;0;Nenhuma;1;0
5500000;Projeto de João Armentano próximo à Praça Vinícius de Morais em rua tranquila e vista para o verde. Ambientes amplos e iluminados. Espaço para academia. Lazer com piscina e churras...;Rua Comendador Bichara Moherdauí; Jardim Guedala;3;6;4;476;0;0;Super destaque;0;0
1550000;"Benefícios: * Casa ampla em lote de 1030m²; , muito bem localizada rua tranquila fácil acesso, próximo a todo tipo de comércio.  * Casa ampla com aproximadamente 300m²; de á...";Rua José Ribeiro Filho; Ouro Preto;4;5;2;350;555;0;Super destaque;0;0
849658;UM NOVO CONCEITO DE MORAR BEM!  * UNIDADES A PARTIR DE: R$ 775.353,92  APROVEITE AS OPORTUNIDADES DO LANÇAMENTO!  COM 65% DE ARÉA DE PRESERVAÇÃO AMBIENTAL   SEGURANÇA E QUALIDADE D...;Avenida Shishima Hifumi; Urbanova;3;2;3;110;900;400;Super destaque;0;0
300000;Crédito Real vende Casa sobrado com potencial para comércio (mercado, padaria, lancheria, oficina, entre outros), localizada na avenida ao lado de ponto de ônibus da avenida princi...;Costa E Silva; Porto Alegre;2;4;3;304;1200;0;Destaque;0;0
35000;A casa está localizado no bairro Edson Queiroz com 110 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros;Rua Aníbal Fernandes Bonavides; Edson Queiroz;3;3;2;110;0;0;Nenhuma;1;0
140000;A casa no bairro Barris tem 80 metros quadrados com 3 quartos e 1 banheiro.  ENTRADA+PARCELAS A COMBINAR NO BOLETO BANCARIO.  ACEITAMOS FGTS E CARTÃO DE CRÉDITO.  FACILITAMOS PARA...;Avenida Adalgisa; Barris;3;0;1;80;0;0;Nenhuma;0;0
550000;Casa de esquina do lado praia, próximo de supermercados, padarias, farmácias e ponto de ônibus. 700 metros da praia.;Avenida Mario Micas; Jardim Bopiranga;3;6;3;350;0;0;Destaque;0;0
265000;Casa para venda em Jardim Maria Casagrande Lopes de 143.50m² com 3 Quartos, 1 Suite e 2 Garagens;Jardim Maria Casagrande Lopes; Ribeirão Preto;3;2;2;144;0;0;Nenhuma;1;0
200000;Casa para venda em Gsp Life de 157.77m² com 2 Quartos, 1 Suite e 2 Garagens;GSP Life; Boituva;2;2;2;158;229;0;Nenhuma;1;0
209000;Oportunidade  CASA DE 2 QUARTO SENDO UMA SUÍTE SALA COM PE DIREITO DUPLO SANCA E GESSO 3D, GARAGEM ÁREA DE SERVIÇO NA LAJE PORTÃO ELETRÔNICO CHURRASQUEIRA E QUINTAL GRAMADO. NA REG...;Rua 111; Jardim Miramar;2;2;2;83;0;0;Nenhuma;1;1
290000;Casa para venda em Vila São José de 228.00m² com 3 Quartos, 1 Suite e 3 Garagens;Vila Sao Jose; Lins;3;3;3;228;0;0;Nenhuma;1;0
280000;Casa em pavimento superior com garagem para 2 carros, sala, área de luz, cozinha com armários, banheiro, 2 dormitórios com armários (1 suíte com hidromassagem), lavanderia e quinta...;Parque Chapadão; Piracicaba;2;2;3;170;0;0;Nenhuma;1;0
800000;A CASA JÁ FOI VENDIDA;Rua Damasco; Jardim Semiramis;3;2;5;240;340;0;Destaque;0;0
350000;Tá incluso : terraço, construção ,mão de obra ,matérias utilizados e etc...  * 3 dormitórios  ( sendo 1 suíte )  * 1 banheiro social  * Sala  * Cozinha (estilo americana ) * Área g...;Rua Barão de Jacareí; Centro;3;2;1;600;0;0;Nenhuma;1;0
335000;🚩 Conheça o Villa Coimbra! * Casas Duplex pertinho do Shopping Eusébio *  *Você e sua família merecem conquistar a segurança e o conforto de morar em uma casa encantadora, e ter c...;; Eusébio;4;2;3;119;0;0;Nenhuma;0;0
495000;Sobrado com 185m² de Área Construída   3 Dormitórios, 1 Suíte, Quintal com Área Gourmet, Cozinha Totalmente Planejada, Sala de Jantar, Sala de Estar, Sacada na Suíte, Piso Porcelan...;Residencial Santa Paula; Jacareí;3;1;3;140;0;0;Nenhuma;1;0
450000;Nova, linda e moderna casa, com 3 dormitórios, sendo 01 suíte, sala de estar, sala de jantar, cozinha integrada com a sala (open space), banheiro social, lavanderia, jardim de inve...;Alpes do Cruzeiro ; Itatiba;3;3;2;120;110;0;Nenhuma;1;0
158000;"📏 82m² área construída; 🚰 Área de Serviço; 🛁 02 banheiros ;  🚗 01 vaga de garagem  ✔02 quartos – (2 Suíte)  ✔Cozinha americana ✔Chuveirão  ✔Churrasqueira 📌 Corredor lateral de...";; Itaitinga;2;2;2;82;0;0;Nenhuma;1;0
500000;".Amplo terreno com 1.008,15 m²; .Casa com 4 quartos sendo 3 suítes; .Duas salas; .Lavabo; .Varanda em L; .Copa cozinha; .Lavanderia; .Garagem para 3 carros; .No Centro, as proximid...";Avenida Presidente Getúlio Vargas; Centro;4;3;6;460;0;0;Nenhuma;1;0
190000;"próximo do Atacadão da zona norte com:   2 dormitórios sendo 1 tipo apartamento;   2 banheiros;   1 sala;   1 cozinha;   1 área externa com varanda, amplo quintal todo preparado pa...";Rua Antonio Zampieri; Setparque Avenida 2;2;2;2;80;0;0;Nenhuma;0;0
