valor;descricao;local;bairro/cidade;quartos;garagem;banheiro;area(m2);iptu;condominio;novidade;suite;academia;varanda;transporte;salao;planejado
225000;O imóvel no bairro Jardim São Francisco (Zona Leste) possui 46 metros quadrados com 2 quartos e 1 banheiro.  Lindo apartamento, bem localizado, menos de 1km da estação Engenheiro G...;Rua Maracanã-Guaçu; Jardim Sao Francisco;2;1;1;46;0;280;Nenhuma;0;0;0;1;0;0
240000;QUARTOS 2  sedo 1 suite GARAGEM 1 DESCRIÇÃO O Residencial Napoli, localiza se na Rua Desembargador Cid Campelo, constitui de 8 blocos, com 4 pavimentos superpostos cada, em alvenar...;Rua Desembargador Cid Campelo; Cidade Industrial;2;1;2;64;20;299;Nenhuma;1;0;0;0;0;0
450000;Edifício High Place está apenas 5 minutos do centro , no bairro que tem o maior acesso a qualquer região da cidade. Em seu entorno há comércios e serviços de todos os tipos, restau...;Vila Santa Francisca; Sorocaba;3;2;3;113;650;600;Nenhuma;0;0;0;0;0;0
360000;Apartamento no Nações Clube de Morar de 60 metros com 2 dormitórios e 1 vaga. Andar alto, piso laminado, repleto de armários planejados, banheiros com box em vidro, janelas com tel...;Estrada das Nações; Vila Iracema;2;1;2;60;200;374;Nenhuma;0;0;0;1;0;1
1200000;O apartamento está localizado no bairro Jardim Consórcio com 140 metros quadrados com sala 2 ambientes (piso porcelanato)   lavabo   varanda gourmet fechada com vidro   3 suítes co...;Avenida João Peixoto Viegas; Jardim Consórcio;3;2;5;140;0;990;Nenhuma;1;0;1;1;0;0
222000;Apartamento localizado no Jd. Santo André em Santo André São 2 dormitórios, wc social, sala 2 ambientes, cozinha, área de serviço. 1 vaga. Área de lazer com churrasqueira, Playgrou...;Jardim Santo Andre; Santo André;2;1;1;54;0;290;Nenhuma;0;0;0;0;0;0
550000;Residencial Terrazzo   Jardim America   Bauru SP. Andar alto. Três Dormitórios sendo um suíte. Varanga Gourmet   Duas vagas  ;Parque Jardim Europa; Bauru;3;2;1;94;0;499;Nenhuma;1;0;0;0;0;0
241000;O apartamento está localizado no bairro Cabula com 69 metros quadrados com 2 quartos sendo 1 suíte e 2 banheiros Possui área verde de jardim, salão para festas e eventos. Maria das...;Conjunto Solar das Árvores; Cabula;2;1;2;69;289;190;Nenhuma;1;0;0;1;1;0
242000;Vendo Apartamento no Condomínio Vila Verde  3/4, Suíte, 63 m²,   Para Mais Informações e Imóveis: Tel. WhatsApp: Corretor Johnata CRECI 5441   Fale comigo e obtenha consultoria imo...;Rua do Horto; Jabotiana;3;1;2;63;0;0;Nenhuma;1;0;0;0;0;0
470000;"Condomínio Prime Acqua  Apartamento térreo 64m2 com quintal ""Garden"" de 24 m2, totalmente diferenciado em condomínio com toda infra estrutura de lazer, armários planejados em todos...";Rua Bartira; Vila Ipê;2;2;2;64;106;499;Nenhuma;0;0;0;0;0;1
