objectid,cl,logradouro,codbairro,bairro,total_transações,uso,média_percentual_transferido,média_área_terreno,média_valor_transação,média_valor_imóvel,principal_transação_mercado,ano_transação
1290684,059683,RUA NADIA MARIA,144,Campo Grande,3,TERRITORIAL,100,225.333333,56341.04,56341.04,COMPRA E VENDA,2023
1290685,130211,RUA A PAL 19789,144,Campo Grande,2,TERRITORIAL,100,360,86399.995,86399.995,COMPRA E VENDA,2023
1290686,130252,RUA E PAL 19789,144,Campo Grande,2,TERRITORIAL,100,467,107410,107410,COMPRA E VENDA,2023
1290687,130302,RUA J PAL 19789,144,Campo Grande,2,TERRITORIAL,100,360,82800.01,82800.01,COMPRA E VENDA,2023
1290688,224840,RUA ZEZE GONZAGA,144,Campo Grande,2,TERRITORIAL,100,346,303375.065,303375.065,COMPRA E VENDA,2023
1290689,228379,RUA 1 PAA 11519/PAL 44874,144,Campo Grande,11,TERRITORIAL,100,127.090909,40504.48,40504.48,COMPRA E VENDA,2023
1290690,228395,RUA 3 PAA 11519/PAL 44874,144,Campo Grande,8,TERRITORIAL,100,140.625,43385.55625,43385.55625,COMPRA E VENDA,2023
1290691,228478,RUA 11 PAA 11519/PAL 44874,144,Campo Grande,6,TERRITORIAL,100,128,38846.81,38846.81,COMPRA E VENDA,2023
1290692,474650,RUA G PAA 12234/PAL 47554,144,Campo Grande,2,TERRITORIAL,100,369.5,93866.595,93866.595,COMPRA E VENDA,2023
1290693,496430,RUA A PAA 12423/PAL 48319,144,Campo Grande,4,TERRITORIAL,100,390.25,93549.465,93549.465,COMPRA E VENDA,2023
1290694,226795,RUA C PAA 12041/PAL 46726,147,Cosmos                    ,5,TERRITORIAL,100,161.2,37569.994,37569.994,COMPRA E VENDA,2023
1290695,211490,RUA D PAA 11265 /PAL 44546,149,Santa Cruz                ,2,TERRITORIAL,100,360,75612.52,75612.52,COMPRA E VENDA,2023
1290696,015214,ETR CABUCU DE BAIXO,151,Guaratiba                 ,4,TERRITORIAL,100,245.25,58192.8375,58192.8375,COMPRA E VENDA,2023
1290697,067520,ETR DA CANOA,031,São Conrado               ,2,TERRITORIAL,100,1272.5,639999.99,639999.99,COMPRA E VENDA,2023
1290698,089631,ROD PRES DUTRA,049,Jardim América            ,2,TERRITORIAL,100,1132.5,309946.02,309946.02,COMPRA E VENDA,2023
1290699,079905,RUA PROPICIA,061,Engenho Novo              ,3,TERRITORIAL,100,266.666666,193015.35,193015.35,COMPRA E VENDA,2023
1290700,025700,RUA INDAIATUBA,076,Irajá                     ,3,TERRITORIAL,84,290,109044.92,129815.38,COMPRA E VENDA,2023
1290701,072397,RUA GARCIA,079,Quintino Bocaiúva         ,3,TERRITORIAL,16.67,486.333333,26065.006666,156358.766666,COMPRA E VENDA,2023
1290702,035238,ETR CEL PEDRO CORREIA,115,Jacarepaguá               ,5,TERRITORIAL,100,2474.6,4313889.742,4313889.742,COMPRA E VENDA,2023
1290703,049023,RUA JORDAO,123,Tanque                    ,4,TERRITORIAL,25,350,19979.58,79918.32,COMPRA E VENDA,2023
1290704,030106,RUA MARANGA,124,Praça Seca                ,2,TERRITORIAL,100,104,28800.01,28800.01,COMPRA E VENDA,2023
1290705,051771,RUA SABINO BARROSO,125,Vila Valqueire            ,4,TERRITORIAL,3.85,360,7253.96,188414.55,COMPRA E VENDA,2023
1290706,223644,RUA HELIO SCHLITTLER SILVA,128,Barra da Tijuca           ,2,TERRITORIAL,100,600,1650000,1650000,COMPRA E VENDA,2023
1290707,225532,RUA BILLY BLANCO,128,Barra da Tijuca           ,4,TERRITORIAL,100,600,1500000.01,1500000.01,COMPRA E VENDA,2023
1290708,090068,RUA PAULO JOSE MAHFUD,130,Vargem Pequena            ,5,TERRITORIAL,100,14519,54200.196,54200.196,COMPRA E VENDA,2023
1290709,477604,RUA ANJO DA NOITE,130,Vargem Pequena            ,6,TERRITORIAL,85,451.166666,312545.985,370968.448333,COMPRA E VENDA,2023
1290710,009571,RUA ZENITILDES ALVES MEIRA,131,Vargem Grande             ,4,TERRITORIAL,1.84,10000,37747.2925,2051362.8425,COMPRA E VENDA,2023
1290711,101329,VIA SERV A PAL 19170,131,Vargem Grande             ,5,TERRITORIAL,62,11946.6,1403200.962,2263227.358,COMPRA E VENDA,2023
1290712,197384,RUA MARIO LISBOA DE CARVALHO,131,Vargem Grande             ,5,TERRITORIAL,83.334,762.6,368353.928,632739.004,COMPRA E VENDA,2023
1290713,197442,RUA JOAQUIM GOMES FERREIRA,131,Vargem Grande             ,6,TERRITORIAL,100,252.166666,203181.053333,203181.053333,COMPRA E VENDA,2023
1290714,019109,AVN DW PLT 52 22 143,132,Recreio dos Bandeirantes  ,12,TERRITORIAL,100,643.083333,633646.1725,633646.1725,COMPRA E VENDA,2023
1290715,044651,AVN EW PLT 52 22 143,132,Recreio dos Bandeirantes  ,19,TERRITORIAL,96.842105,600.157894,508722.333157,532660.834736,COMPRA E VENDA,2023
1290716,045120,AVN H W PLT 52 22 143,132,Recreio dos Bandeirantes  ,7,TERRITORIAL,100,538.142857,670956.367142,670956.367142,COMPRA E VENDA,2023
1290717,095588,AVN D PLT 51 55 12915,132,Recreio dos Bandeirantes  ,31,TERRITORIAL,87.252903,2813.903225,657348.378709,182829803.338387,COMPRA E VENDA,2023
1290718,095604,VIA 4 PAA 8997S/SRV K PLT515512915,132,Recreio dos Bandeirantes  ,32,TERRITORIAL,57.8125,10714.125,1120609.374375,2051593.75,COMPRA E VENDA,2023
1290719,161737,RUA PRES NEREU RAMOS,132,Recreio dos Bandeirantes  ,3,TERRITORIAL,100,604,3724696.263333,3724696.263333,COMPRA E VENDA,2023
1290720,474445,RUA RIZZA CONDE,132,Recreio dos Bandeirantes  ,2,TERRITORIAL,75,627,1009999.99,1309999.99,COMPRA E VENDA,2023
1290721,211888,RUA ZEZE MACEDO (ATRIZ),143,Santíssimo                ,3,TERRITORIAL,100,126,26353.8,26353.8,COMPRA E VENDA,2023
1290722,211920,RUA IBRAHIM SUED (COLUNISTA),143,Santíssimo                ,3,TERRITORIAL,100,157,32217.973333,32217.973333,COMPRA E VENDA,2023
1290723,040873,ETR DO TINGUI,144,Campo Grande,2,TERRITORIAL,100,444,152867.935,152867.935,COMPRA E VENDA,2023
1290724,102061,AVN ALHAMBRA,144,Campo Grande,2,TERRITORIAL,100,360,85357.33,85357.33,COMPRA E VENDA,2023
1290725,203240,RUA ITAMARAJU,144,Campo Grande,2,TERRITORIAL,100,145,46510.48,46510.48,COMPRA E VENDA,2023
1290726,463828,RUA A PAA 12112/PAL 47027,144,Campo Grande,2,TERRITORIAL,100,215.5,56235.355,56235.355,COMPRA E VENDA,2023
1290727,205120,RUA TONY FERREIRA,147,Cosmos                    ,2,TERRITORIAL,100,153,33627.48,33627.48,COMPRA E VENDA,2023
1290728,022285,RUA FELIPE CARDOSO,149,Santa Cruz                ,6,TERRITORIAL,100,1161.166666,333506.26,333506.26,COMPRA E VENDA,2023
1290729,227264,RUA JOSUE MONTELLO,130,Vargem Pequena            ,2,TERRITORIAL,100,360,147992.39,147992.39,COMPRA E VENDA,2021
1290730,477620,RUA CARLOS MANGA (DIR D TV),130,Vargem Pequena            ,3,TERRITORIAL,33.496666,339.666666,67466.016666,213621.946666,COMPRA E VENDA,2021
1290731,197442,RUA JOAQUIM GOMES FERREIRA,131,Vargem Grande             ,7,TERRITORIAL,100,280,213432.591428,213432.591428,COMPRA E VENDA,2021
1290732,197459,RUA LEONY ANSELMO,131,Vargem Grande             ,5,TERRITORIAL,100,256.6,213296.284,213296.284,COMPRA E VENDA,2021
1290733,221762,RUA NEWTON CAVALCANTI,132,Recreio dos Bandeirantes  ,2,TERRITORIAL,27.29,603,230393.81,843090.965,COMPRA E VENDA,2021
1290734,474437,RUA BRUNO FERNANDES(ARQUITETO),132,Recreio dos Bandeirantes  ,2,TERRITORIAL,50,485.5,462500.02,925000.04,COMPRA E VENDA,2021
1290735,474445,RUA RIZZA CONDE,132,Recreio dos Bandeirantes  ,2,TERRITORIAL,50,525.5,488450,975344.24,COMPRA E VENDA,2021
1290736,035279,ETR DA POSSE,143,Santíssimo                ,3,TERRITORIAL,100,4339,118618.726666,118618.726666,COMPRA E VENDA,2021
1290737,050740,RUA GUANDU MIRIM,143,Santíssimo                ,2,TERRITORIAL,100,256.5,49832.635,49832.635,COMPRA E VENDA,2021
